longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,6.67125,547.563375,1136.78775,1522.909125
0.02,30.4149375,687.45448125,1721.3387625,2426.77951875
0.03,43.316465625,903.8720896875,2115.660819375,2951.8498603125
0.04,51.17618109375,1171.64927432813,2348.44882565625,2909.83342317188
0.05,56.5295246015625,1154.71835088047,2417.60872911094,3167.01363274453
0.06,59.7978635308594,1152.17434298426,2398.47642601102,3327.44262300949
0.07,61.0003249419727,1202.58138864134,2452.13378430606,3497.77319265522
0.08,61.965428718085,1106.03213875274,2406.63370636833,3501.50113096037
0.09,62.3297357949467,983.837051314006,2371.53991350258,3448.2543720282
0.1,61.5513546872207,1196.5308782227,2432.18307742642,3652.57265461551
0.11,61.4472450779714,1146.33635802249,2454.26206758453,3579.32046003853
0.12,62.5768597928843,1058.25837191237,2507.88988717149,3600.89550302119
0.13,64.0621478860864,976.716854551802,2421.90956294432,3477.33652666166
0.14,65.9658063373475,700.528520003491,2216.60850961938,3226.19308966391
0.15,67.6709434855411,533.65456100192,2151.34905529066,3110.49894931515
0.16,68.4658939170476,635.516758551056,2195.24135540986,3114.92067212333
0.17,69.3013666543762,643.224467203081,2167.67937047542,3128.85574466783
0.18,70.8903766599069,755.942956961695,2256.85840376148,3148.77803456731
0.19,73.0243321629488,682.949376328932,2190.87899706882,3124.88279401202
0.2,75.6245076896219,619.570531980913,2058.48044838785,3035.16278670661
0.21,78.567729229292,588.496667589502,2028.18737161332,2988.01728268864
0.22,81.3306260761106,592.966667174226,2004.79530438732,2957.80438047875
0.23,83.4374693418608,616.698916945824,1972.29729241303,2923.27615926331
0.24,84.6873581380235,642.473154320203,1927.16688582717,2892.34601259482
0.25,85.3612969759129,671.431484876112,1879.65841220494,2864.30718192715
0.26,85.8793383367521,704.537316681862,1823.76125171272,2837.69432505993
0.27,86.4522610852137,733.905524175024,1766.34631344199,2842.48937878296
0.28,87.0148685968675,758.878038296263,1710.1767223931,2862.72278333063
0.29,87.4030527282771,779.604796062945,1660.9358223162,2884.47903083185
0.3,87.5501790005524,798.95601283462,1621.88670227391,2930.28834195752
0.31,87.5478484503038,814.768557059041,1577.41243625065,2967.47933807663
0.32,87.4858166476671,814.410331382473,1522.04221493786,3028.02826094215
0.33,87.1951991562169,809.40618226036,1492.23546821582,3071.82079351818
0.34,86.6956095359193,801.246025243198,1458.7518825187,3049.072936435
0.35,86.2374602447556,782.010313883759,1422.64303538529,2969.86486503925
0.36,85.7807281346156,760.775797636067,1400.81666946191,2925.90217577159
0.37,85.1819004740386,736.562063699837,1388.93366820405,2834.40382167437
0.38,84.5836702607212,704.745010034911,1381.86026751223,2710.50135192091
0.39,83.9812686433967,656.109005519201,1383.97514713172,2617.4553685565
0.4,83.3979477538682,605.382078035561,1412.78745592245,2579.34357770607
0.41,83.2121212646275,545.755017919558,1444.23347575735,2590.23196773834
0.42,83.3742916955451,491.406259855757,1452.70091166654,2659.28358225609
0.43,83.6018604325498,445.618192920666,1437.6851264166,2759.73884524085
0.44,83.7202732379024,410.550506106367,1431.88906952913,2863.27198988247
0.45,83.4591502808463,381.020153358502,1416.85611324102,2914.49346943536
0.46,82.4155326544655,362.241584347176,1414.32886228256,2924.99828318945
0.47,80.332917959956,350.824371390947,1408.72237425541,2761.2969307542
0.48,78.0096048779758,349.397029265021,1437.66980584047,2876.51518691481
0.49,76.8161576828867,549.594366095761,1767.34326821226,2961.73610280314
0.5,76.0607617255877,763.150026352669,2011.87742251674,3144.98798154173
0.51,75.0175439490732,590.391639493968,1929.81433238421,3141.04801484795
0.52,74.3773991719903,485.510526721682,1873.69288281132,3144.03015816637
0.53,75.0783195445947,459.124539696925,1808.51696054622,3123.98371199151
0.54,76.6900757495271,437.988246833309,1752.00620330042,3137.41004159533
0.55,78.7105416622399,423.01416075832,1710.28728681523,3139.96489787743
0.56,80.247047914232,424.585038417076,1671.96313274838,3130.55319383259
0.57,80.9470013528276,427.817146129392,1633.89622301161,3106.29450660792
0.58,81.0574757440552,422.723305371166,1598.64829765638,3099.62347863436
0.59,80.7402366592304,411.829567954141,1580.67831371101,3103.3332882489
0.6,80.2957551625767,412.774762374778,1564.49032254106,3112.89205853689
0.61,80.4664153394172,405.358869306128,1517.24467739758,3096.51450719529
0.62,80.9270284366795,412.62687811837,1519.27094756867,3093.78660395741
0.63,81.5662406401737,448.955657965104,1550.59389616277,3096.23050717658
0.64,82.4533073520955,441.630486880807,1434.47976788952,2929.54240394712
0.65,83.2134440436526,481.693767784444,1472.48124733924,3033.23594717092
0.66,83.7282692240089,512.927697281444,1490.88006103658,3068.610020944
0.67,84.1171730732049,496.764733504794,1347.09940857012,3013.4186365192
0.68,84.3344451902627,489.074353427637,1248.86017471357,3022.87487508556
0.69,84.2773198546445,506.2803943852,1158.64972109246,3031.12118129706
0.7,84.1401509200545,514.98771691186,1132.19097160085,2978.56739971338
0.71,84.11533300603,526.764119301523,1116.83878438047,2974.83581984236
0.72,83.8778081533165,523.927265615838,1083.13658140926,3019.5272009133
0.73,83.2240444843241,534.134496088711,1109.23474477509,3074.64108550231
0.74,82.4898494663782,554.813347848791,1118.9177346263,3111.78697202627
0.75,82.305417206508,572.829841316835,1119.53300404447,3087.75383461445
0.76,82.4964794635794,579.666537724259,1062.66515222446,3038.04623403795
0.77,82.9233137049687,591.010345748343,1050.45658372345,3072.84755372087
0.78,83.7340725377328,611.451440161588,1078.0093710479,3078.29365454648
0.79,84.849364895753,614.624417088874,1065.35902907634,3066.72026000056
0.8,85.9397756926642,630.763929398881,1081.64721599199,3048.88889300031
0.81,86.7093766309653,651.500411169384,1131.56246879559,3028.36151615017
0.82,87.0584071470309,668.205351143161,1205.91935783758,2880.95433388259
0.83,87.062498930867,679.590193128739,1231.00039681067,2896.94875863543
0.84,86.8419994119769,688.556356220806,1269.00384324587,2888.73231724949
0.85,86.5497246765873,701.288495921444,1317.80011378523,2864.34914948722
0.86,86.320348572123,715.013047756794,1366.01643758187,2818.96028221797
0.87,86.1424417146677,724.042051266237,1410.68729067003,2774.09965521988
0.88,85.8780929430672,724.67900319643,1459.20300986852,2732.69081037094
0.89,85.449201118687,727.786701758037,1495.84965542768,2690.57719570401
0.9,84.8004356152778,727.05243596692,1531.36718548523,2652.63108263721
0.91,83.9621145884028,727.269589781806,1576.89832701687,2621.29147045046
0.92,83.0802880236215,729.806649379993,1618.86832985928,2599.49280874776
0.93,82.3174084129919,731.933282158996,1651.4232064226,2579.42154481127
0.94,81.6615746271455,728.955055187448,1683.23676353243,2558.7939746462
0.95,80.89361604493,726.654405353097,1707.79134494284,2533.61693605541
0.96,79.9289888247115,720.472797944203,1725.40598971856,2501.23856483047
0.97,78.9529438535913,720.075538869312,1737.46441934521,2493.89071065676
0.98,78.0144941194752,700.214546378122,1742.82418063986,2471.16876586122
0.99,76.9898467657114,690.698375507967,1754.92954935193,2462.77457122367
1,76.1619157211413,679.199356529382,1753.67537714356,2455.46788917302
1.01,75.3994286466277,670.83414609116,1749.44520742896,2431.97996404516
1.02,74.3973107556452,673.263405350138,1739.33473908593,2404.47485522484
1.03,73.3083959156049,676.068747942576,1720.00060649726,2373.79167037366
1.04,72.3719927535827,665.294061368417,1723.01533357349,2352.41141870551
1.05,71.5160960144705,667.635608752629,1726.36430846542,2363.83515528803
1.06,70.2601028079588,675.407959813946,1719.23886965598,2357.32133540842
1.07,69.0135565443773,686.780377897671,1712.95850331079,2368.02285947463
1.08,68.0984560994075,685.501082843719,1694.71730182093,2353.44269771105
1.09,67.2554008546741,667.952845564045,1683.70139100151,2345.10860874108
1.1,66.4620954700708,658.681565060225,1684.49614005083,2316.89760980759
1.11,65.8401525085389,656.601860783124,1662.37475202796,2325.11343539418
1.12,65.4575838796964,651.545273430718,1650.45548861538,2327.8838894668
1.13,65.225796133833,668.683400386895,1638.32214373846,2347.09038920674
1.14,64.6584378736082,735.961370212792,1752.78205405615,2493.31771406371
1.15,63.4542658304845,688.623003617036,1718.13225473088,2483.51549273504
1.16,62.2002212067665,742.55190198937,1778.45936510199,2578.02539600427
1.17,61.1763716637216,784.279546094153,1825.91552580609,2659.63046780235
1.18,60.9653794150469,718.100500351784,1715.15791419335,2698.17950729129
1.19,61.4467086782758,844.339900193481,1761.76197780634,2798.57810401021
1.2,62.0174397730517,878.658070106415,1761.66771279349,2830.36808220562
1.21,62.1119668751784,868.640813558528,1751.20736703642,2853.62607021309
1.22,62.0852067813481,909.618572457191,1880.09642687003,3020.8478386172
1.23,54.8918637297415,962.865464851455,1853.01478477852,3035.81806123946
1.24,50.2042750513578,769.6633806683,1551.39788162818,2673.2201836817
1.25,47.7093512782468,728.935734367565,1403.6244598955,2449.82547602494
1.26,46.9705182030357,549.322403902161,1277.64945294253,2260.62613681372
1.27,46.8937850116697,704.517322146188,1391.72919911839,2407.16250024754
1.28,46.4330817564183,651.957402180404,1388.87205951511,2453.17837513615
1.29,46.0244449660301,827.604821199222,1641.12425773331,2635.69910632488
1.3,46.0134447313165,751.514401659572,1560.76134175332,2581.49475847869
1.31,46.2987696022241,834.930045912765,1652.06686296433,2723.47099216328
1.32,46.4151982812233,782.876275252021,1633.52264963038,2689.0646706898
1.33,46.4612340546728,767.448576388611,1640.12183229671,2604.01931887939
1.34,46.58892873007,799.345217013736,1637.43000776319,2613.11750038367
1.35,46.9977858015385,890.004369357555,1814.48250426975,2722.75325021102
1.36,47.7435321908462,1006.20252814666,1902.32812734837,2804.24566261606
1.37,48.0636927049654,1078.49726548066,1947.5100950416,2877.41761443883
1.38,47.662655987731,978.665996014363,1879.92905227288,2741.52093794136
1.39,47.550085793252,1028.1137978079,1967.60185375008,2813.09414086775
1.4,47.4746721862886,850.648963794345,1830.85839456255,2663.57640247726
1.41,47.0641947024587,668.98893008689,1651.1088670094,2585.77977136249
1.42,46.5628070863523,744.569161547789,1732.34675185517,2520.43987424937
1.43,39.3221688974938,617.730288851284,1413.85958852034,2103.06943083715
1.44,0,529.702283868206,1227.47989868619,1901.76218696044
1.45,0,0,0,0
1.46,0,0,0,0
1.47,0,0,0,0
1.48,0,0,0,0
