time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,13.815,479.689875,1058.810625,1534.86675
0.01,31.83435703125,810.786280429688,1653.53760175781,2220.52645054688
0.02,43.667720859375,956.609471285156,1970.98222130859,2641.15970528906
0.03,51.1441217402344,1081.08908827119,2164.9723524624,3010.8741414416
0.04,55.7233405417969,1250.8773296908,2323.13834177842,3362.32468043895
0.05,58.4823127695557,1429.85007045003,2459.56714730513,3606.45496225926
0.06,59.8998774497168,1367.69193242048,2433.60139472022,3596.73447759248
0.07,60.4564906692063,1376.91924309731,2407.21243363222,3602.59505217942
0.08,60.7364610263376,1308.45809308423,2358.31348009258,3468.32616253502
0.09,60.834381865599,1315.70959319165,2338.91269602965,3351.91191038706
0.1,60.9010252791917,1461.42819216533,2371.54646759211,3362.38207694642
0.11,61.2749388552672,1587.27283080858,2412.49923759142,3440.79559799898
0.12,63.3625045367589,1469.84009654869,2377.62923645689,3412.72993048384
0.13,66.2294169217839,1257.76552722899,2262.17449217058,3227.76985418613
0.14,69.4553694290927,1068.88249465216,2166.28670032818,3058.45429766463
0.15,72.4458757609748,941.846353497791,2102.26586472158,2940.51108872729
0.16,74.6736479128968,866.066393746543,2042.08743559447,2839.54459505647
0.17,76.2106117907419,826.747209117232,2010.60920209778,2771.73778384195
0.18,77.0714773333689,808.687416477932,2001.94461942589,2734.72398764787
0.19,77.8358389062564,769.830156195887,1974.85299562453,2674.00925246454
0.2,78.8136767629129,702.437510830902,1936.06845937315,2589.67832152563
0.21,80.0189020372491,624.944217555361,1891.8224458528,2494.15012945611
0.22,81.0966104889429,582.545146190799,1837.1745424152,2404.09411264022
0.23,81.7564686704439,568.185524142103,1802.07797170259,2330.15961820187
0.24,82.1330600073324,563.472835724162,1780.15663660525,2270.49449424799
0.25,82.3907301336938,564.354248282655,1756.92424519293,2202.90731654953
0.26,82.6027653073452,567.783965304361,1726.33533932663,2130.22485713197
0.27,82.7805387460748,571.497237666794,1687.48154494781,2067.46853701081
0.28,82.8741627429169,574.120778622111,1640.58406496965,2026.84158340538
0.29,82.6759894697235,576.961255704329,1616.08700679267,2000.46586007148
0.3,82.3187868432135,579.119667147823,1594.23069188112,1972.4136433485
0.31,81.9541637129435,579.112745183921,1572.68212045976,1946.66457423048
0.32,81.6627724547908,576.887436405721,1550.89816188357,1925.62608696248
0.33,81.4113258411669,574.368793807845,1528.51654128129,1905.56334406338
0.34,81.0169661920223,572.742682745932,1531.96973631103,1869.06066279937
0.35,80.5359797631799,568.519620091847,1520.56054933099,1869.93669684336
0.36,80.0626478101611,565.918365570387,1511.44969746751,1891.83169196839
0.37,79.6496898456278,563.178924276205,1504.61531276038,1926.10086095605
0.38,79.2991972426169,556.224852993783,1494.93044352125,1968.41975398122
0.39,78.8997819861833,542.752564751627,1490.35281748058,2017.95007411161
0.4,78.4987924366002,523.821113838299,1483.54549554255,2048.74828446498
0.41,78.1520285278772,502.535890478511,1489.9907025355,2089.88432225052
0.42,77.8264326060934,480.752014465277,1501.77793851242,2141.85400154992
0.43,77.5144003620199,458.239181229555,1498.31333406543,2194.657281021
0.44,77.2521055505036,432.867423726764,1452.90891482196,2231.37049045113
0.45,77.0035222875315,418.616233753991,1453.84182472238,2259.4069575049
0.46,76.6539083810958,402.961183159662,1462.24517116334,2291.52311218727
0.47,76.1058331412896,394.771839593172,1463.44027243397,2306.67852129983
0.48,75.3666384670121,393.765751818566,1471.26631149421,2318.93585449316
0.49,74.4879140775357,396.29711900005,1502.16412620891,2353.41639752272
0.5,73.4864397634338,402.19615967319,1537.35347094305,2420.31797306604
0.51,72.3626825700121,407.649413032666,1588.66278842533,2511.51553065213
0.52,71.2119672516995,408.781451191043,1661.24813332322,2608.12584295862
0.53,70.0561774994409,447.473332578703,1753.83258632094,2736.2641346619
0.54,69.0724918744958,503.505775445033,1837.63632556026,2854.31221969561
0.55,68.587457563677,491.708665978229,1863.00982176983,2852.55227300026
0.56,68.4557467974091,579.503558311563,1943.08939946662,2891.62378255103
0.57,68.1392207159374,578.061332537262,1937.22284686994,2879.05112854841
0.58,67.8705762563149,537.450940964241,1903.39150853078,2867.49980280657
0.59,67.5922085216253,484.517918100956,1870.15319086195,2884.17343677945
0.6,67.1273008375026,454.702974644369,1856.66334408634,2939.95036167091
0.61,66.2811923317358,546.774100602743,1892.44585975594,3030.15348040932
0.62,65.3736352746645,699.97439205881,2034.68845297126,3177.39023683866
0.63,64.9961797233433,825.045088215173,2028.59101350472,3219.99170754245
0.64,65.1097333375917,917.531635235776,2010.70270994076,3233.77510180925
0.65,65.5145562112895,946.180417191451,2014.58195450591,3263.70846948203
0.66,65.9330165602969,855.124578314274,1929.85833551192,3287.35464250793
0.67,66.2963417273058,766.667881609719,1867.90243434582,3193.68311405375
0.68,66.627391655829,770.025306640595,1844.47838394153,3115.17492948124
0.69,67.2424247535893,776.409497805214,1816.01661723514,3072.54559781091
0.7,68.39765531556,818.381484045706,1874.28566016009,3113.27835189268
0.71,70.1347777497803,922.030624442324,2050.4874903609,3221.04592804102
0.72,71.9605331576212,954.454837754347,2034.48719938266,3154.92700188348
0.73,73.0953025317389,935.171049034343,1959.55121091053,3051.94184165157
0.74,74.0804143172324,917.313383642088,1959.64616918833,2997.96779055947
0.75,75.1417018112296,892.743347095283,1911.38835406454,2903.23742544551
0.76,76.2025299426398,833.314867237454,1768.3029569634,2745.74329533019
0.77,76.9133845452568,710.864933457064,1596.13591071147,2591.38059077532
0.78,77.0182864008967,693.446802584932,1573.1193236127,2531.46070983044
0.79,77.1191648064859,723.409148577518,1587.36061439687,2486.45036958953
0.8,77.0662944946132,740.143653153328,1594.94490864683,2427.41544963728
0.81,76.6679458479251,729.913156375524,1586.55660084397,2382.60389772205
0.82,75.9008175980971,700.952691934195,1578.8353620002,2377.11456710398
0.83,75.2338234448138,675.842901364436,1628.31532059506,2371.51232705881
0.84,75.3601132514787,668.156990885651,1668.56612058615,2357.03437530674
0.85,75.7124872033203,634.245252194287,1649.40313347726,2326.96261120681
0.86,76.1299836963301,598.041558139556,1581.54981925393,2282.51752645345
0.87,76.4832730463337,573.785721453802,1501.09585798995,2236.34708647436
0.88,76.6641050484522,560.058001949467,1455.97445565213,2207.56082329151
0.89,76.5636167645247,549.989386444856,1431.73788093542,2180.54113478106
